ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,OC_t1_calc,organic_C_t2,OC_t2_calc,log_organic_C_rr,OC_change_rate,per_OC_change,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,per_OC_st_change,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
37,Schmer et al.,2014,USA,Ithaca,North America,no,,41° 10' N,96° 25' W,349,350,740,797,9.8,10.3,,0.5774,Dry sub-humid,1.7227,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,10,9,sprinklers,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.36,1.36,1.388025862,1.385427833,SiL,,,SiL,,,,,,,,,,,,,,,,,,6,6,19.41176471,19.41176471,20.98039216,20.98039216,0.033748583,0.174291939,8.080808081,1.397727273,1.727798235,,,1.834295294,1.76822637,39.6,42.8,39.6,42.8,3.724182,2.389847696,,,3.724182,2.389847696,0.033748583,0.355555556,8.080808081,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,3.2,3.49,,,3.2,3.49,,,,0.4,0.498571429
37,Schmer et al.,2014,USA,Ithaca,North America,no,,41° 10' N,96° 25' W,349,350,740,797,9.8,10.3,,0.5774,Dry sub-humid,1.7227,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,10,9,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.47,1.47,1.463397989,1.466883833,SiL,,,SiL,,,,,,,,,,,,,,,,,,6,6,18.86621315,18.86621315,16.59863946,16.59863946,-0.055612245,-0.251952633,-12.01923077,1.819852941,1.366947755,,,1.782743946,1.398932479,41.6,36.6,41.6,36.6,3.912272,2.043654806,,,3.912272,2.043654806,-0.055612245,-0.555555556,-12.01923077,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,3.26,3.08,,,3.26,3.08,,,,0.4075,0.44
37,Schmer et al.,2014,USA,Ithaca,North America,no,,41° 10' N,96° 25' W,349,350,740,797,9.8,10.3,,0.5774,Dry sub-humid,1.7227,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,10,9,sprinklers,sprinkler,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,1.46,1.46,1.452020259,1.4527605,SiL,,,SiL,,,,,,,,,,,,,,,,,,6,6,7.728310502,7.728310502,7.608447489,7.608447489,-0.006788515,-0.013318113,-1.550960118,1.768707483,0.626578476,,,0.730278973,0.641239563,33.85,33.325,33.85,33.325,3.18342325,1.860786787,,,3.18342325,1.860786787,-0.006788515,-0.058333333,-1.550960118,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,5.29,5.17,,,3.2525,3.2425,,,,0.4065625,0.463214286
38a,Silva et al.,2016,Brazil,Petrolina-2 -N,South America,yes,N-,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,no,,no,no,0,2,2,drippers,drippers,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.473103161,1.469595167,1.473103161,1.469595167,LS,81,6,LS,81,6,6.7,6.5,,,,,,,,,,,,,,5,5,10.4,10.4,7.97,7.97,-0.115575018,-1.215,-23.36538462,0.72452911,0.65635341,,,0.9827376,0.67171119,30.64054575,23.42534696,30.64054575,23.42534696,2.881590125,1.308014287,,,2.881590125,1.308014287,-0.116610464,-3.607599393,-23.54787949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38a,Silva et al.,2016,Brazil,Petrolina-2 -N,South America,yes,N-,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,no,,no,no,0,2,2,drippers,drippers,fresh,,,,,,Plot,20,40,20,20-30cm,20-30cm,1.495112356,1.513363333,1.495112356,1.513363333,,,,,,,6.2,6.2,,,,,,,,,,,,,,5,5,4.9,4.9,3.54,3.54,-0.141192818,-0.68,-27.75510204,0.975,0.29152962,,,0.4630206,0.298351018,14.65210109,10.7146124,14.65210109,10.7146124,1.377956847,0.598277845,,,1.377956847,0.598277845,-0.135923441,-1.968744346,-26.87320178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38b,Silva et al.,2016,Brazil,Petrolina-2 +N,South America,yes,N+,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,yes,,no,no,0,2,2,drippers,drippers,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.483809483,1.480792333,1.483809483,1.480792333,LS,81,6,LS,81,6,6.7,6.4,,,,,,,,,,,,,,5,5,10.4,10.4,6.6,6.6,-0.197489404,-1.9,-36.53846154,0.459375,0.9,,0.136363636,0.9827376,0.55624766,30.86323725,19.5464588,30.86323725,19.5464588,2.902533147,1.091426624,,,2.902533147,1.091426624,-0.198373389,-5.658389225,-36.66750302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38b,Silva et al.,2016,Brazil,Petrolina-2 +N,South America,yes,N+,9° 08' S,40° 19' W,373,375,,572,,25.3,semiarid,0.3151,Semi-Arid,3.3164,woody perennials,woody crops,no,,,,,no,no,yes,,no,no,0,2,2,drippers,drippers,fresh,,,,,,Plot,20,40,20,20-30cm,20-30cm,1.496480172,1.5120125,1.496480172,1.5120125,,,,,,,6.2,6,,,,,,,,,,,,,,5,5,4.9,4.9,4.1,4.1,-0.077412223,-0.4,-16.32653061,0.459375,0.7,,0.170731707,0.4630206,0.345547789,14.66550569,12.3985025,14.66550569,12.3985025,1.379217482,0.692302164,,,1.379217482,0.692302164,-0.072927809,-1.133501593,-15.45806353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,0,8,7.5,0-10cm,0-10cm,1.44,1.37,1.445574,1.381616,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,11,11,13.3,13.3,0.082458956,0.209090909,20.90909091,1.03125,1.0952949,,,1.039434,1.120923315,11.88,13.66575,11.88,13.66575,1.1172546,0.763062177,,,1.1172546,0.763062177,0.060817031,0.162340909,15.03156566,,,,,,,,,,,,,,,,,,,,,,3,3,1.29,1.54,,,,,0.206842,0.368547,,,,,1.491833,1.702151,0.076931011,,,0.186479,0.243164
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,8,15,7.5,10-20cm,10-20cm,1.5,1.56,1.494523,1.531206,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,10.9,10.9,8.8,8.8,-0.092943826,-0.190909091,-19.26605505,1.021875,0.7247064,,,1.0299846,0.741663547,12.2625,10.296,12.2625,10.296,1.153226813,0.574903549,,,1.153226813,0.574903549,-0.075910486,-0.178772727,-16.03669725,,,,,,,,,,,,,,,,,,,,,,3,3,1.25,1.27,,,,,0.200428,0.303932,,,,,1.307708,1.361242,0.006893708,,,0.163463,0.194463
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,15,30,15,20-30cm,20-30cm,1.51,1.56,1.503045,1.523116,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,9,9,8,8,-0.051152522,-0.090909091,-11.11111111,0.84375,0.658824,,,0.850446,0.674239588,20.385,18.72,20.385,18.72,1.917107325,1.045279179,,,1.917107325,1.045279179,-0.037004871,-0.151363636,-8.167770419,,,,,,,,,,,,,,,,,,,,,,3,3,1.45,1.11,,,,,0.232497,0.265641,,,,,3.269123,2.535989,-0.116045023,,,0.40864,0.362284
39a,Stewart et al.,2017,USA,Fort Collins-2 -N,North America,yes,N-,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,no,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,30,60,30,40-50cm,30+cm,1.426403,1.445732667,1.426403,1.445732667,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,2.733333333,2.733333333,1.933333333,1.933333333,-0.150385859,-0.072727273,-29.26829268,0.25625,0.1592158,,,0.2582836,0.162941234,11.6965046,8.385249467,11.6965046,8.385249467,1.099997775,0.468211895,,,1.099997775,0.468211895,-0.144540108,-0.301023194,-28.30978353,,,,,,,,,,,,,,,,,,,,,,3,3,0.45,0.426666667,,,,,0.072154333,0.102108,,,,,1.925948667,1.849869333,-0.023123799,,,0.240743667,0.264267333
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,0,8,7.5,0-10cm,0-10cm,1.44,1.37,1.428299,1.365954,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,12.7,12.7,17,17,0.1266452,0.390909091,33.85826772,0.4,1.4,0.031496,0.082353,1.2000738,1.432759125,13.716,17.4675,13.716,17.4675,1.28992122,0.975342632,,,1.28992122,0.975342632,0.105003275,0.341045455,27.35126859,,,,,,,,,,,,,,,,,,,,,,3,3,1.39,1.87,,,,,0.222876,0.447521,,,,,1.588269,2.043467,0.128826806,,,0.198534,0.291924
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,8,15,7.5,10-20cm,10-20cm,1.5,1.56,1.497,1.533128,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,10.9,10.9,9.4,9.4,-0.064298644,-0.136363636,-13.76146789,0.4,0.4,0.036697,0.042553,1.0299846,0.792231516,12.2625,10.998,12.2625,10.998,1.153226813,0.614101518,,,1.153226813,0.614101518,-0.047265305,-0.114954545,-10.31192661,,,,,,,,,,,,,,,,,,,,,,3,3,1.26,1.17,,,,,0.202032,0.28,,,,,1.320354,1.255632,-0.032184683,,,0.165044,0.179376
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,15,30,15,20-30cm,20-30cm,1.51,1.56,1.494406,1.542022,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,9.6,9.6,8.5,8.5,-0.052852307,-0.1,-11.45833333,0.3,0.4,0.03125,0.047059,0.9071424,0.716379562,21.744,19.89,21.744,19.89,2.04491448,1.110609128,,,2.04491448,1.110609128,-0.038704656,-0.168545455,-8.526490066,,,,,,,,,,,,,,,,,,,,,,3,3,1.15,1.08,,,,,0.184394,0.258462,,,,,2.57785,2.498076,-0.027274085,,,0.322231,0.356868
39b,Stewart et al.,2017,USA,Fort Collins-2 +N,North America,yes,N+,40° 39' N,104° 60' W,1535,1550,234,382,,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,12,11,sprinklers,sprinkler,fresh,7.5,,,,,Plot,30,60,30,40-50cm,30+cm,1.425718,1.447054,1.425718,1.447054,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,3.333333333,3.333333333,2.3,2.3,-0.161150909,-0.093939394,-31,0.233333333,0.433333333,0.0625,0.162162,0.31498,0.193843882,14.25718,9.9846726,14.25718,9.9846726,1.340816493,0.557519785,,,1.340816493,0.557519785,-0.154699804,-0.388409764,-29.9674087,,,,,,,,,,,,,,,,,,,,,,3,3,0.486666667,0.356666667,,,,,0.078033333,0.085356333,,,,,2.079833667,1.545547,-0.134969078,,,0.259979333,0.220792333
40,Stone et al.,2008,USA,Duplin County,North America,no,,35° 05' N,78° 02' W,,36,1232,1285,,16.4,,0.8778,Humid,1.1354,cereals,cereals,no,,,,yes,no,yes,yes,,yes,no,1,4,3,subsurface drip,drippers,mixed,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.493709483,1.5013545,1.493709483,1.5013545,LS,,,LS,,,,,,,,,,,,,,,,,,4,4,6.46,6.46,5.48,5.48,-0.07145196,-0.326666667,-15.17027864,1.1,1,0.170278638,0.182481752,0.61043124,0.461854118,14.47404489,12.34113399,14.47404489,12.34113399,1.361211552,0.689098847,,,1.361211552,0.689098847,-0.069234848,-0.7109703,-14.73610809,,,,,,,,,,,,,,,,,,,,,,4,4,0.43,0.48,0.07,0.32,0.162790698,0.666666667,0.068947368,0.114871795,,,,,0.963442617,1.08097524,0.047772782,,,0.120430327,0.154425034
40,Stone et al.,2008,USA,Duplin County,North America,no,,35° 05' N,78° 02' W,,36,1232,1285,,16.4,,0.8778,Humid,1.1354,cereals,cereals,no,,,,yes,no,yes,yes,,yes,no,1,4,3,subsurface drip,drippers,mixed,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.503863506,1.513275,1.503863506,1.513275,LS,,,LS,,,,,,,,,,,,,,,,,,4,4,4.23,4.23,2.93,2.93,-0.159472747,-0.433333333,-30.73286052,0.96,0.79,0.226950355,0.269624573,0.39970962,0.246940249,9.542013946,6.650843625,9.542013946,6.650843625,0.897378702,0.3713669,,,0.897378702,0.3713669,-0.15676331,-0.96372344,-30.2993722,,,,,,,,,,,,,,,,,,,,,,4,4,0.27,0.34,0.34,0.39,1.259259259,1.147058824,0.043292534,0.081367521,,,,,0.60906472,0.77177025,0.100115153,,,0.07613309,0.110252893
40,Stone et al.,2008,USA,Duplin County,North America,no,,35° 05' N,78° 02' W,,36,1232,1285,,16.4,,0.8778,Humid,1.1354,cereals,cereals,no,,,,yes,no,yes,yes,,yes,no,1,4,3,subsurface drip,drippers,mixed,,,,,,Plot,30,45,15,30-40cm,30+cm,1.471174138,1.48659675,1.471174138,1.48659675,LS,,,LS,,,,,,,,,,,,,,,,,,4,4,2.74,2.74,1.82,1.82,-0.177679175,-0.306666667,-33.57664234,0.845,0.555,0.256410256,0.322115385,0.25891356,0.153389506,6.046525707,4.058409128,6.046525707,4.058409128,0.56864551,0.226611675,,,0.56864551,0.226611675,-0.173150078,-0.662705527,-32.88031303,,,,,,,,,,,,,,,,,,,,,,4,4,0.12,0.215,0.04,0.11,0.285714286,0.5,0.019241126,0.051452992,,,,,0.264636871,0.479462388,0.253257214,,,0.033079609,0.068494627
41a,Trost et al.,2016,Germany,Thyrow-N,Europe,yes,N-,52° 15' N,13° 14' E,43,47,495.3,544,8.9,9.2,,0.6194,Dry sub-humid,1.6305,mixed,cereals,yes,1,once,CT,no,no,no,no,yes,no,yes,30,43,13,sprinkler,sprinkler,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.67,1.67,1.649214943,1.660504167,LS,83,3,LS,83,3,5.6,5.6,,,,,,,,,,,,,,5,5,5.628742515,5.628742515,5.958083832,5.958083832,0.024695227,0.025333947,5.85106383,0.527694611,0.490666078,,,0.531882395,0.502146999,18.8,19.9,18.8,19.9,1.768046,1.111167504,,,1.768046,1.111167504,0.024695227,0.084615385,5.85106383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41b,Trost et al.,2016,Germany,Thyrow+N,Europe,yes,N+,52° 15' N,13° 14' E,43,47,495.3,544,8.9,9.2,,0.6194,Dry sub-humid,1.6305,mixed,cereals,yes,1,once,CT,no,no,no,yes,yes,no,yes,30,43,13,sprinkler,sprinkler,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.67,1.67,1.648025,1.657940833,LS,83,3,LS,83,3,5.6,5.6,,,,,,,,,,,,,,5,5,6.377245509,6.377245509,6.886227545,6.886227545,0.033348233,0.039152464,7.981220657,0.597866766,0.567101497,,,0.602611437,0.580370903,21.3,23,21.3,23,0.4,1.1,0.018779343,0.047826087,2.0031585,1.284263949,0.033348233,0.130769231,7.981220657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Undersander and Reiger,1985,USA,Etter,North America,no,,36° 02' N,102° 00' W,,1103,370,441,,13,arid,0.2118,Semi-Arid,4.7302,cereals,cereals,no,4,multiple,CT,no,no,no,yes,yes,no,no,2,15,13,sprinkler,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.402849713,1.319684333,1.402849713,1.319684333,SiCL,,,SiCL,,,,,,,,,,,,,,,,,,2,2,8.2,8.2,13.2,13.2,0.206760079,0.384615385,60.97560976,1,1,0.12195122,0.075757576,0.7748508,1.11249532,17.25505147,26.12974979,17.25505147,26.12974979,1.622751315,1.45902155,,,1.622751315,1.45902155,0.180218992,0.682669102,51.43246509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Undersander and Reiger,1985,USA,Etter,North America,no,,36° 02' N,102° 00' W,,1103,370,441,,13,arid,0.2118,Semi-Arid,4.7302,cereals,cereals,no,4,multiple,CT,no,no,no,yes,yes,no,no,2,15,13,sprinkler,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.406951437,1.339185,1.406951437,1.339185,SiCL,,,SiCL,,,,,,,,,,,,,,,,,,2,2,7.01,7.01,6.96,6.96,-0.003108778,-0.003846154,-0.713266762,1,1,0.142653352,0.143678161,0.66240294,0.586588442,14.79409436,13.9810914,14.79409436,13.9810914,1.391310604,0.780670072,,,1.391310604,0.780670072,-0.02454731,-0.062538689,-5.495456094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Wang et al.,2014,China,Yangling,Asia,no,,34° 18' N,108° 04' E,525,509,600,651,13,13,temperate,0.5243,Dry sub-humid,1.9124,cereals,cereals,no,,,CT,yes,no,no,yes,,no,no,0,8,8,flood,floodfurr,fresh,,,,,,Plot,0,20,20,0-10cm,0-10cm,1.21,1.21,1.23695977,1.277363,,,,,,,8.25,8.25,,,,,,,,,,,,,,4,4,8,8,8.06,8.06,0.003245055,0.0075,0.75,0.75,0.66376518,,,0.755952,0.679296385,19.36,19.5052,19.36,19.5052,1.8207112,1.089122834,,,1.8207112,1.089122834,0.003245055,0.01815,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Xing et al.,2012,Canada,Fredericton,North America,no,,45° 55' N,66° 36' W,,23,,1142,,13,,1.2644,Humid,0.7872,vegetables,horticulture,no,,,,,,no,yes,,no,,1,3,2,drippers,drippers,fresh,,,,,,Plot,0,30,30,10-20cm,10-20cm,1.8,1.8,1.647670115,1.654385667,L,52,11,L,52,11,6.4,6.4,,,,,,,,,,,,,,4,4,1.652,1.652,1.548,1.548,-0.028239087,-0.052,-6.295399516,0.075,0.045,0.045399516,0.029069767,0.156104088,0.13046536,8.9208,8.3592,8.9208,8.3592,0.838956636,0.466757357,,,0.838956636,0.466757357,-0.028239087,-0.2808,-6.295399516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Xu et al.,2010,USA,Palmdale,North America,no,,34° 37' N,118° 02' W,,774,,178,,16.2,semiarid,0.072,Arid,13.4045,mixed,cereals,yes,,,,,,yes,no,,yes,no,3,20,17,sprinklers,sprinkler,waste,4.85,,,,,Plot,0,10,10,0-10cm,0-10cm,1.461586,1.464557,1.461586,1.464557,LS,,,LS,,,6.8,6.2,,,,,,,,,,,,,,3,3,4.7,4.7,8.8,8.8,0.272384814,0.241176471,87.23404255,0.4,0.4,0.085106,0.045455,0.4441218,0.741663547,6.8694542,12.8881016,6.8694542,12.8881016,0.64603782,0.719640185,,,0.64603782,0.719640185,0.273266719,0.354038082,87.61463756,3,3,0.19,0.61,0.1,0.2,0.526316,0.327869,0.112449,0.217841,,,,,0.277701,0.89338,,,,,0.506576234,,,,,,,,,,,,,,,,,,,,,
45,Xu et al.,2010,USA,Palmdale,North America,no,,34° 37' N,118° 02' W,,774,,178,,16.2,semiarid,0.072,Arid,13.4045,mixed,cereals,yes,,,,,,yes,no,,yes,no,3,20,17,sprinklers,sprinkler,waste,4.85,,,,,Plot,10,20,10,10-20cm,10-20cm,1.460943,1.469442,1.460943,1.469442,LS,,,LS,,,6.9,6.1,,,,,,,,,,,,,,3,3,3.2,3.2,5.6,5.6,0.243038049,0.141176471,75,0.3,0.4,0.09375,0.071429,0.3023808,0.471967712,4.6750176,8.2288752,4.6750176,8.2288752,0.43966203,0.459480337,,,0.43966203,0.459480337,0.245557226,0.209050447,76.0180582,3,3,0.13,0.45,0.041,0.1,0.315385,0.222222,0.076939,0.160702,,,,,0.189923,0.661249,,,,,0.539269161,,,,,,,,,,,,,,,,,,,,,
45,Xu et al.,2010,USA,Palmdale,North America,no,,34° 37' N,118° 02' W,,774,,178,,16.2,semiarid,0.072,Arid,13.4045,mixed,cereals,yes,,,,,,yes,no,,yes,no,3,20,17,sprinklers,sprinkler,waste,4.85,,,,,Plot,20,30,10,20-30cm,20-30cm,1.454238,1.446248,1.454238,1.446248,LS,,,LS,,,6.9,5.8,,,,,,,,,,,,,,3,3,2.4,2.4,4.1,4.1,0.232572615,0.1,70.83333333,1,0.8,0.416667,0.195122,0.2267856,0.345547789,3.4901712,5.9296168,3.4901712,5.9296168,0.328233151,0.331095352,,,0.328233151,0.331095352,0.230179898,0.1434968,69.89472608,3,3,0.007,0.2,0.021,0.1,3,0.5,0.004143,0.071423,,,,,0.01018,0.28925,,,,,1.455931956,,,,,,,,,,,,,,,,,,,,,
45,Xu et al.,2010,USA,Palmdale,North America,no,,34° 37' N,118° 02' W,,774,,178,,16.2,semiarid,0.072,Arid,13.4045,mixed,cereals,yes,,,,,,yes,no,,yes,no,3,20,17,sprinklers,sprinkler,waste,4.85,,,,,Plot,30,40,10,30-40cm,30+cm,1.4644865,1.472733875,1.4644865,1.472733875,LS,,,LS,,,6.7625,5.4125,,,,,,,,,,,,,,3,3,1.3375,1.3375,2.0375,2.0375,0.182803827,0.041176471,52.3364486,0.475,0.4625,0.095238,0.075,0.126385725,0.171720395,1.958750694,3.00069527,1.958750694,3.00069527,0.184210709,0.167551511,,,0.184210709,0.167551511,0.18524273,0.061290857,53.19434372,3,3,0.0275,0.081625,0.031875,0.0425,4.714286,0.294118,0.016275375,0.029149375,,,,,0.078735375,0.223367375,,,,,0.4724905,,,,,,,,,,,,,,,,,,,,,
46,Alidoust et al.,2018,Iran,Lordegan,Middle East,no,,31° 23' N,50° 56' E,2310,3199,650,300,14.9,8.5,subtropical,0.18,Arid,5.5633,wheat and alfalfa,cereals,yes,,,CT,,,no,,,,,0,26,26,,,fresh,,,,,,Farm,0,5,5,0-10cm,0-10cm,1.404695115,1.328032778,1.404695115,1.328032778,,,35,,,35,,,,,,,,,,,,,,,,17,17,14.77426177,14.77426177,15.62712433,15.62712433,0.024373278,0.032802406,5.772623859,1.385087041,1.28694057,,,1.396079092,1.317053234,10.37666667,10.37666667,10.37666667,10.37666667,0.975873617,0.579407779,,,0.975873617,0.579407779,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Alidoust et al.,2018,Iran,Lordegan,Middle East,no,,31° 23' N,50° 56' E,2310,3199,650,300,14.9,8.5,subtropical,0.18,Arid,5.5633,wheat and alfalfa,cereals,yes,,,CT,,,no,,,,,0,26,26,,,fresh,,,,,,Farm,15,30,15,20-30cm,20-30cm,1.415457759,1.394855833,1.415457759,1.394855833,,,35,,,35,,,,,,,,,,,,,,,,17,17,8.543761378,8.543761378,8.669952154,8.669952154,0.00636759,0.004853491,1.476993214,0.800977629,0.71399657,,,0.807334188,0.730703121,18.14,18.14,18.14,18.14,1.7059763,1.012893393,,,1.7059763,1.012893393,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ma et al.,2018,China,"Jingtai County, Gansu Province",Asia,no,,37° 13' N,103° 51' E,1565,1884,185,218,8.6,7.4,arid,0.1507,Arid,6.5046,Wolfberry,woody crops,no,,,RT,no,,no,yes,,yes,,0,11,11,sprinklers,sprinkler,fresh,,,,,,Plot,0,100,100,40-50cm,30+cm,1.32,1.33,1.327197126,1.307553167,,,,,,,,,,,,,,,,,,,,,,3,3,6.33,6.33,9.55,9.55,0.178599662,0.292727273,50.86887836,1.31,0.5,0.206951027,0.052356021,0.59814702,0.804873508,83.556,127.015,83.556,127.015,7.85802402,7.092208064,,,7.85802402,7.092208064,0.181877371,3.950818182,52.01182441,,,,,,,,,,,,,,,,,,,,,,3,3,0.76,1.07,0.12,0.38,0.157894737,0.355140187,0.121860465,0.256068376,,,,,10.08669816,13.99081889,0.148570185,,,1.26083727,1.998688412
