ref_num,group,treatment,depth_category,log_organic_C_rr,per_OC_change,conc_sd,organic_C_st_t1,organic_C_st_t2,st_sd,log_organic_C_st_rr,per_OC_st_change,n
1a,aridity,Arid,0-10cm,0.340140283,40.51446945,0.65144511,7.2152,9.2644,0.597927501,0.249989186,28.40115312,1
1a,aridity,Arid,10-20cm,0.368560551,44.56521739,0.58733847,10.2672,14.2443,0.880472911,0.327402479,38.73597475,1
1a,aridity,Arid,30+cm,0.366743606,44.30278884,0.177865022,7.27398,12.29387289,0.685270676,0.524797402,69.01163997,1
1b,aridity,Hyper Arid,0-10cm,-0.083114907,-7.975460123,0.690855,9.943,9.225,0.725095477,-0.074951596,-7.221160616,1
1b,aridity,Hyper Arid,10-20cm,-0.032876071,-3.234152652,0.67034397,16.81275,12.5664,1.141416113,-0.291110942,-25.25672481,1
1b,aridity,Hyper Arid,30+cm,-0.056783812,-5.520169851,0.26934445,14.49214667,13.67138889,1.063145486,-0.058301647,-5.663465853,1
2a,aridity,Semi-Arid,0-10cm,0.003916291,0.392396921,0.772620732,12.7,12.1,0.935003006,-0.048396541,-4.724409449,3
3,aridity,Arid,30+cm,-0.239229689,-21.27659574,0.037266555,5.36624715,4.044247014,0.365244805,-0.282833429,-24.63546868,1
4,aridity,Semi-Arid,0-10cm,0.227216877,25.51020408,1.9316919,44.688,48.339,3.450907459,0.078533679,8.169978518,3
4,aridity,Semi-Arid,20-30cm,-0.107144637,-10.16042781,1.5683277,40.953,32.256,2.826260659,-0.238720995,-21.23653945,3
5,aridity,Semi-Arid,0-10cm,0.753771802,112.5,0.053750025,0.814572586,1.6802171,0.085212854,0.724014748,106.2697822,1
5,aridity,Semi-Arid,20-30cm,0.223143551,25,0.02360295,0.483888104,0.588696525,0.039189318,0.196057124,21.65964004,1
5,aridity,Semi-Arid,30+cm,0.063178902,6.52173913,0.013912995,0.61717473,0.646265845,0.047064054,0.046058768,4.713594764,1
6,aridity,Semi-Arid,0-10cm,-0.488664052,-38.65546218,0.7,24.16194978,14.92861863,1.552944125,-0.481498989,-38.21434626,12
7a,aridity,Semi-Arid,0-10cm,0.214656937,23.94366197,0.6951657,10.40064922,12.93704573,0.850251081,0.218226728,24.38690562,5
7b,aridity,Semi-Arid,10-20cm,0.043172172,4.411764706,0.61110315,10.0224731,10.51764061,0.764921452,0.048224024,4.940572142,5
8a,aridity,Semi-Arid,0-10cm,0.035297782,3.592814371,1.49516595,23.7975,28.8045,1.923204485,0.190951092,21.04002521,4
8a,aridity,Semi-Arid,20-30cm,0.255246797,29.07801418,1.4103498,21.573,30.849,1.875682883,0.357661802,42.99819218,4
8b,aridity,Semi-Arid,0-10cm,-0.076961041,-7.407407407,1.3770225,23.085,21.6,1.688560093,-0.066489741,-6.432748538,4
8b,aridity,Semi-Arid,20-30cm,0.069472373,7.194244604,1.26509235,21.267,23.9145,1.667691208,0.117328394,12.44886444,4
9a,aridity,Semi-Arid,0-10cm,0.285400747,33.02950328,1.160471256,12.06,15.79,1.00792891,0.269482637,30.92868988,3
9a,aridity,Semi-Arid,10-20cm,0.033504917,3.407252798,1.037313017,12.25,12.39,0.921939328,0.011363759,1.142857143,3
9a,aridity,Semi-Arid,20-30cm,-0.01649268,-1.635742054,0.941670375,22.47,22.1,1.673600646,-0.016603478,-1.646639964,3
9b,aridity,Semi-Arid,30+cm,0.000512441,0.051257234,0.280885322,14.83,14.44,1.10049088,-0.026650023,-2.62980445,3
10a,aridity,Arid,0-10cm,0.044451763,4.545454545,0.19783095,4.502220344,4.627358499,0.340895867,0.027415502,2.779476476,4
10b,aridity,Arid,0-10cm,0.462623522,58.82352941,0.19086405,3.470409311,5.353595099,0.312653174,0.433495772,54.26408294,4
11,aridity,Semi-Arid,0-10cm,0.158006813,17.11741739,1.351107752,20.2,23.9,2.25,0.168195855,18.31683168,6
12,aridity,Semi-Arid,0-10cm,0.260553557,29.76482105,0.354452846,9.85,11.87,0.794567561,0.186542753,20.50761421,1
13,aridity,Semi-Arid,0-10cm,0.068084085,7.045531417,1.199570381,27.8,30.1,2.147580823,0.079489151,8.273381295,4
13,aridity,Semi-Arid,20-30cm,0.091123962,9.540478574,1.014631349,23.4,26,1.826214819,0.105360516,11.11111111,4
14a,aridity,Dry sub-humid,0-10cm,-0.36265591,-30.41741807,0.025414778,1,0.7,0.15,-0.356674944,-30,4
14b,aridity,Dry sub-humid,0-10cm,0.217182681,24.25710751,0.052879518,1.6,2,0.25,0.223143551,25,4
15a,aridity,Semi-Arid,0-10cm,-0.071749944,-6.923638995,0.163388381,4,3.6,0.288597613,-0.105360516,-10,4
15b,aridity,Semi-Arid,0-10cm,0.0980649,10.30343697,0.308118591,6.6,7.2,0.511363727,0.087011377,9.090909091,4
15c,aridity,Semi-Arid,0-10cm,-0.556343815,-42.66986677,0.228038796,6.4,3.6,0.401451613,-0.575364145,-43.75,4
16,aridity,Semi-Arid,0-10cm,0.324512756,38.33564494,0.623885968,1.8475625,2.916009722,0.168288446,0.456348945,57.83009897,3
16,aridity,Semi-Arid,10-20cm,0.186503644,20.50290135,0.498873345,7.0829,8.9089,0.581781298,0.229367349,25.78040068,3
16,aridity,Semi-Arid,20-30cm,0.300754154,35.0877193,0.35054793,9.8496,13.5828,0.842368041,0.321373441,37.90204678,3
16,aridity,Semi-Arid,30+cm,0.322640757,38.07692308,0.269698635,7.124,9.8366,0.609614176,0.322640757,38.07692308,3
17,aridity,Semi-Arid,0-10cm,0.253988227,28.91566265,0.082965105,1.132667132,1.4938698,0.094967865,0.276794789,31.88956914,4
17,aridity,Semi-Arid,10-20cm,-0.135801541,-12.6984127,0.052178325,1.729006397,1.531677584,0.124064775,-0.121183312,-11.41284459,4
17,aridity,Semi-Arid,30+cm,-0.152468594,-14.14141414,0.040703138,2.033520595,1.791033725,0.145624701,-0.126975621,-11.92448559,4
18a,aridity,Arid,0-10cm,0.386980293,47.25274725,0.4891638,3.29875,4.8575,0.290730953,0.386980293,47.25274725,3
18a,aridity,Arid,10-20cm,0.159064695,17.24137931,0.2759376,4.205,4.93,0.335369205,0.159064695,17.24137931,3
19,aridity,Semi-Arid,10-20cm,0.269663567,30.95238095,0.6,34.85030379,44.290818,2.87529408,0.239715533,27.0887573,3
20,aridity,Semi-Arid,0-10cm,-0.118835921,-11.20465164,0.834339991,10.6,8.8,0.5,-0.18610228,-16.98113208,2
20,aridity,Semi-Arid,10-20cm,-0.072870082,-7.027838996,0.945254549,11.8,10.2,0.1,-0.145711811,-13.55932203,2
20,aridity,Semi-Arid,20-30cm,0.093265344,9.775297875,0.698017191,16,16.4,1.4,0.024692613,2.5,2
21a,aridity,Dry sub-humid,0-10cm,0,0,0.5,7.320355602,7.358892623,0.549672737,0.005250556,0.526436465,3
21a,aridity,Dry sub-humid,20-30cm,0.113328685,12,1.1,5.291445041,6.020511,0.416902306,0.129080766,13.77820148,3
21a,aridity,Dry sub-humid,30+cm,0,0,0.25,4.363706982,4.439613506,0.329141011,0.017245403,1.739496347,3
22,aridity,Arid,0-10cm,0,0,0.6,12.876,12.876,0.964943941,0,0,4
22,aridity,Arid,20-30cm,-0.109199292,-10.34482759,0.55,12.876,11.544,0.927756124,-0.109199292,-10.34482759,4
22,aridity,Arid,30+cm,-0.033901552,-3.333333333,0.6,13.32,12.876,0.985821931,-0.033901552,-3.333333333,4
23,aridity,Semi-Arid,10-20cm,-0.054067221,-5.263157895,0.55,47.88,45.36,3.517833229,-0.054067221,-5.263157895,3
24,aridity,Semi-Arid,10-20cm,1.557809329,374.8407643,0.675,12.3944435,57.70196838,2.193786367,1.53804302,365.5470687,3
25a,aridity,Semi-Arid,0-10cm,0.031748698,3.225806452,1.1083092,26.12976103,25.66162881,1.945128096,-0.018078101,-1.791567195,3
25a,aridity,Semi-Arid,20-30cm,0.091349779,9.565217391,1.0578864,24.30267242,25.43841091,1.85298185,0.045673952,4.673306984,3
25a,aridity,Semi-Arid,30+cm,0.102049254,10.74380165,0.5594763,25.51002058,27.49178505,1.967082083,0.074815896,7.768572585,3
25b,aridity,Semi-Arid,0-10cm,0.069593292,7.207207207,1.01031285,21.9113713,24.12967761,1.703998653,0.09643678,10.1239958,3
25b,aridity,Semi-Arid,20-30cm,-0.033060862,-3.25203252,1.06656285,24.63273815,24.46952376,1.841452217,-0.006647963,-0.662591372,3
25b,aridity,Semi-Arid,30+cm,-0.05815592,-5.649717514,0.758667525,35.8154045,35.24741453,2.668194723,-0.015985914,-1.585881769,3
26,aridity,Semi-Arid,0-10cm,-0.031748698,-3.125,0.75,8.424989427,8.266272965,0.626948334,-0.019018483,-1.883877291,3
27,aridity,Semi-Arid,0-10cm,0.084260344,8.791208791,0.83420985,6.587739727,7.232522963,0.51169522,0.093377628,9.787624625,4
27,aridity,Semi-Arid,10-20cm,-0.098440073,-9.375,0.5388237,18.48699954,17.03660874,1.344946293,-0.081703274,-7.845463505,4
28,aridity,Semi-Arid,0-10cm,0.070028604,7.25388601,2.281871494,57.9,62.1,1.2,0.070028604,7.25388601,4
28,aridity,Semi-Arid,20-30cm,0.039740329,4.054054054,2.011921364,51.8,53.9,2.104822323,0.039740329,4.054054054,4
29a,aridity,Semi-Arid,0-10cm,0.159332039,17.27272727,1.04680185,22.1952263,25.30382085,1.750126874,0.131078172,14.00568984,3
29b,aridity,Semi-Arid,0-10cm,0.174353387,19.04761905,1.00689375,21.26194332,25.24995938,1.704737828,0.171905771,18.75659247,3
30,aridity,Dry sub-humid,0-10cm,0.007168489,0.71942446,2.456067,50.04,50.4,3.760112488,0.007168489,0.71942446,1
31a,aridity,Semi-Arid,0-10cm,0.070826053,7.339449541,1.9854051,58.73398597,58.70340838,4.400746487,-0.000520747,-0.052061148,1
31b,aridity,Semi-Arid,0-10cm,-0.169899037,-15.625,1.5670593,52.91371035,41.38808941,3.64363997,-0.245669336,-21.78191788,1
32,aridity,Semi-Arid,10-20cm,0.057158414,5.882352941,0.9228312,38.862,40.176,2.949053361,0.033252893,3.381194998,4
32,aridity,Semi-Arid,30+cm,-0.05135756,-5.006105006,0.70425942,36.97785,35.1267,2.719485614,-0.05135756,-5.006105006,4
33,aridity,Humid,0-10cm,-0.201482055,-18.24817518,0.490384133,13.7,11.2,0.956898603,-0.201482055,-18.24817518,5
34,aridity,Arid,0-10cm,0.618445795,85.60411311,0.47963808,10.51893782,19.59889216,1.041803942,0.622295808,86.32006858,3
34,aridity,Arid,20-30cm,0.323442736,38.18770227,0.320667405,8.408477811,11.71499977,0.722456167,0.331629593,39.32366877,3
34,aridity,Arid,30+cm,0.393042588,48.14814815,0.20388795,5.084627896,7.733144535,0.454991888,0.419293726,52.08870135,3
35,aridity,Semi-Arid,0-10cm,0.297940558,34.70817121,1.78,8.616443799,11.60953571,0.729290819,0.298154357,34.73697482,3
36,aridity,Semi-Arid,10-20cm,0.183337301,20.12195122,1.436297318,49.2,59.1,7.3,0.183337301,20.12195122,4
37,aridity,Dry sub-humid,0-10cm,0.077708984,8.080808081,1.562762754,39.6,42.8,3.057014848,0.077708984,8.080808081,6
37,aridity,Dry sub-humid,20-30cm,-0.128051927,-12.01923077,1.593400348,41.6,36.6,2.977963403,-0.128051927,-12.01923077,6
37,aridity,Dry sub-humid,30+cm,-0.015631133,-1.550960118,1.19764298,33.85,33.325,2.522105018,-0.015631133,-1.550960118,6
38a,aridity,Semi-Arid,0-10cm,-0.266121313,-23.36538462,0.69044126,30.64054575,23.42534696,2.094802206,-0.268505517,-23.54787949,5
38a,aridity,Semi-Arid,20-30cm,-0.325108478,-27.75510204,0.63326481,14.65210109,10.7146124,0.988117346,-0.31297529,-26.87320178,5
39a,aridity,Semi-Arid,0-10cm,0.189868762,20.90909091,1.06327245,11.88,13.66575,0.940158388,0.140036389,15.03156566,3
39a,aridity,Semi-Arid,10-20cm,-0.214011068,-19.26605505,0.8732907,12.2625,10.296,0.864065181,-0.174790355,-16.03669725,3
39a,aridity,Semi-Arid,20-30cm,-0.117783036,-11.11111111,0.751287,20.385,18.72,1.481193252,-0.085206865,-8.167770419,3
39a,aridity,Semi-Arid,30+cm,-0.346276237,-29.26829268,0.2077329,11.6965046,8.385249467,0.784104835,-0.332815899,-28.30978353,3
40,aridity,Humid,0-10cm,-0.164524217,-15.17027864,1.05,14.47404489,12.34113399,1.025155199,-0.159419128,-14.73610809,4
40,aridity,Humid,20-30cm,-0.36719957,-30.73286052,0.875,9.542013946,6.650843625,0.634372801,-0.360960861,-30.2993722,4
40,aridity,Humid,30+cm,-0.409121419,-33.57664234,0.7,6.046525707,4.058409128,0.397628593,-0.398692788,-32.88031303,4
41a,aridity,Dry sub-humid,0-10cm,0.056862862,5.85106383,0.509180344,18.8,19.9,1.439606752,0.056862862,5.85106383,5
42,aridity,Semi-Arid,0-10cm,0.476082675,60.97560976,1,17.25505147,26.12974979,1.540886433,0.414969565,51.43246509,2
42,aridity,Semi-Arid,20-30cm,-0.007158227,-0.713266762,1,14.79409436,13.9810914,1.085990338,-0.056522269,-5.495456094,2
43,aridity,Dry sub-humid,0-10cm,0.007472015,0.75,0.70688259,19.36,19.5052,1.454917017,0.007472015,0.75,4
44,aridity,Humid,10-20cm,-0.0650229,-6.295399516,0.06,8.9208,8.3592,0.652856996,-0.0650229,-6.295399516,4
45,aridity,Arid,0-10cm,0.627189213,87.23404255,0.4,6.8694542,12.8881016,0.682839003,0.629219873,87.61463756,3
45,aridity,Arid,10-20cm,0.559615788,75,0.35,4.6750176,8.2288752,0.449571184,0.565416407,76.0180582,3
45,aridity,Arid,20-30cm,0.535518236,70.83333333,0.9,3.4901712,5.9296168,0.329664251,0.530008801,69.89472608,3
45,aridity,Arid,30+cm,0.420921366,52.3364486,0.46875,1.958750694,3.00069527,0.17588111,0.42653715,53.19434372,3
46,aridity,Arid,0-10cm,0.056121546,5.772623859,1.336013805,10.37666667,10.37666667,0.777640698,0,0,17
46,aridity,Arid,20-30cm,0.014661919,1.476993214,0.757487099,18.14,18.14,1.359434846,0,0,17
47,aridity,Arid,30+cm,0.411240918,50.86887836,0.905,83.556,127.015,7.475116042,0.418788124,52.01182441,3
1a,irrigation,,0-10cm,0.340140283,40.51446945,0.65144511,7.2152,9.2644,0.597927501,0.249989186,28.40115312,1
1a,irrigation,,10-20cm,0.368560551,44.56521739,0.58733847,10.2672,14.2443,0.880472911,0.327402479,38.73597475,1
1a,irrigation,,30+cm,0.366743606,44.30278884,0.177865022,7.27398,12.29387289,0.685270676,0.524797402,69.01163997,1
1b,irrigation,,0-10cm,-0.083114907,-7.975460123,0.690855,9.943,9.225,0.725095477,-0.074951596,-7.221160616,1
1b,irrigation,,10-20cm,-0.032876071,-3.234152652,0.67034397,16.81275,12.5664,1.141416113,-0.291110942,-25.25672481,1
1b,irrigation,,30+cm,-0.056783812,-5.520169851,0.26934445,14.49214667,13.67138889,1.063145486,-0.058301647,-5.663465853,1
2a,irrigation,sprinkler,0-10cm,0.003916291,0.392396921,0.772620732,12.7,12.1,0.935003006,-0.048396541,-4.724409449,3
3,irrigation,drippers,30+cm,-0.239229689,-21.27659574,0.037266555,5.36624715,4.044247014,0.365244805,-0.282833429,-24.63546868,1
4,irrigation,sprinkler,0-10cm,0.227216877,25.51020408,1.9316919,44.688,48.339,3.450907459,0.078533679,8.169978518,3
4,irrigation,sprinkler,20-30cm,-0.107144637,-10.16042781,1.5683277,40.953,32.256,2.826260659,-0.238720995,-21.23653945,3
5,irrigation,floodfurr,0-10cm,0.753771802,112.5,0.053750025,0.814572586,1.6802171,0.085212854,0.724014748,106.2697822,1
5,irrigation,floodfurr,20-30cm,0.223143551,25,0.02360295,0.483888104,0.588696525,0.039189318,0.196057124,21.65964004,1
5,irrigation,floodfurr,30+cm,0.063178902,6.52173913,0.013912995,0.61717473,0.646265845,0.047064054,0.046058768,4.713594764,1
6,irrigation,sprinkler,0-10cm,-0.488664052,-38.65546218,0.7,24.16194978,14.92861863,1.552944125,-0.481498989,-38.21434626,12
7a,irrigation,sprinkler,0-10cm,0.214656937,23.94366197,0.6951657,10.40064922,12.93704573,0.850251081,0.218226728,24.38690562,5
7b,irrigation,sprinkler,10-20cm,0.043172172,4.411764706,0.61110315,10.0224731,10.51764061,0.764921452,0.048224024,4.940572142,5
8a,irrigation,floodfurr,0-10cm,0.035297782,3.592814371,1.49516595,23.7975,28.8045,1.923204485,0.190951092,21.04002521,4
8a,irrigation,floodfurr,20-30cm,0.255246797,29.07801418,1.4103498,21.573,30.849,1.875682883,0.357661802,42.99819218,4
8b,irrigation,floodfurr,0-10cm,-0.076961041,-7.407407407,1.3770225,23.085,21.6,1.688560093,-0.066489741,-6.432748538,4
8b,irrigation,floodfurr,20-30cm,0.069472373,7.194244604,1.26509235,21.267,23.9145,1.667691208,0.117328394,12.44886444,4
9a,irrigation,sprinkler,0-10cm,0.285400747,33.02950328,1.160471256,12.06,15.79,1.00792891,0.269482637,30.92868988,3
9a,irrigation,sprinkler,10-20cm,0.033504917,3.407252798,1.037313017,12.25,12.39,0.921939328,0.011363759,1.142857143,3
9a,irrigation,sprinkler,20-30cm,-0.01649268,-1.635742054,0.941670375,22.47,22.1,1.673600646,-0.016603478,-1.646639964,3
9b,irrigation,sprinkler,30+cm,0.000512441,0.051257234,0.280885322,14.83,14.44,1.10049088,-0.026650023,-2.62980445,3
10a,irrigation,floodfurr,0-10cm,0.044451763,4.545454545,0.19783095,4.502220344,4.627358499,0.340895867,0.027415502,2.779476476,4
10b,irrigation,floodfurr,0-10cm,0.462623522,58.82352941,0.19086405,3.470409311,5.353595099,0.312653174,0.433495772,54.26408294,4
11,irrigation,sprinkler,0-10cm,0.158006813,17.11741739,1.351107752,20.2,23.9,2.25,0.168195855,18.31683168,6
12,irrigation,sprinkler,0-10cm,0.260553557,29.76482105,0.354452846,9.85,11.87,0.794567561,0.186542753,20.50761421,1
13,irrigation,sprinkler,0-10cm,0.068084085,7.045531417,1.199570381,27.8,30.1,2.147580823,0.079489151,8.273381295,4
13,irrigation,sprinkler,20-30cm,0.091123962,9.540478574,1.014631349,23.4,26,1.826214819,0.105360516,11.11111111,4
14a,irrigation,sprinkler,0-10cm,-0.36265591,-30.41741807,0.025414778,1,0.7,0.15,-0.356674944,-30,4
14b,irrigation,sprinkler,0-10cm,0.217182681,24.25710751,0.052879518,1.6,2,0.25,0.223143551,25,4
15a,irrigation,floodfurr,0-10cm,-0.071749944,-6.923638995,0.163388381,4,3.6,0.288597613,-0.105360516,-10,4
15b,irrigation,floodfurr,0-10cm,0.0980649,10.30343697,0.308118591,6.6,7.2,0.511363727,0.087011377,9.090909091,4
15c,irrigation,floodfurr,0-10cm,-0.556343815,-42.66986677,0.228038796,6.4,3.6,0.401451613,-0.575364145,-43.75,4
16,irrigation,,0-10cm,0.324512756,38.33564494,0.623885968,1.8475625,2.916009722,0.168288446,0.456348945,57.83009897,3
16,irrigation,,10-20cm,0.186503644,20.50290135,0.498873345,7.0829,8.9089,0.581781298,0.229367349,25.78040068,3
16,irrigation,,20-30cm,0.300754154,35.0877193,0.35054793,9.8496,13.5828,0.842368041,0.321373441,37.90204678,3
16,irrigation,,30+cm,0.322640757,38.07692308,0.269698635,7.124,9.8366,0.609614176,0.322640757,38.07692308,3
17,irrigation,floodfurr,0-10cm,0.253988227,28.91566265,0.082965105,1.132667132,1.4938698,0.094967865,0.276794789,31.88956914,4
17,irrigation,floodfurr,10-20cm,-0.135801541,-12.6984127,0.052178325,1.729006397,1.531677584,0.124064775,-0.121183312,-11.41284459,4
17,irrigation,floodfurr,30+cm,-0.152468594,-14.14141414,0.040703138,2.033520595,1.791033725,0.145624701,-0.126975621,-11.92448559,4
18a,irrigation,floodfurr,0-10cm,0.386980293,47.25274725,0.4891638,3.29875,4.8575,0.290730953,0.386980293,47.25274725,3
18a,irrigation,floodfurr,10-20cm,0.159064695,17.24137931,0.2759376,4.205,4.93,0.335369205,0.159064695,17.24137931,3
19,irrigation,floodfurr,10-20cm,0.269663567,30.95238095,0.6,34.85030379,44.290818,2.87529408,0.239715533,27.0887573,3
20,irrigation,sprinkler,0-10cm,-0.118835921,-11.20465164,0.834339991,10.6,8.8,0.5,-0.18610228,-16.98113208,2
20,irrigation,sprinkler,10-20cm,-0.072870082,-7.027838996,0.945254549,11.8,10.2,0.1,-0.145711811,-13.55932203,2
20,irrigation,sprinkler,20-30cm,0.093265344,9.775297875,0.698017191,16,16.4,1.4,0.024692613,2.5,2
21a,irrigation,sprinkler,0-10cm,0,0,0.5,7.320355602,7.358892623,0.549672737,0.005250556,0.526436465,3
21a,irrigation,sprinkler,20-30cm,0.113328685,12,1.1,5.291445041,6.020511,0.416902306,0.129080766,13.77820148,3
