ref_num,authors,year,country,site_name,latitude,longitude,elevation,elec_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,vegetation_type,crop_type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrigation,irrig_method,irrig_methodcat,irrig_type,irrig_water_pH,irrig_water_bicarbinate,irrig_water_Ca,irrig_water_C,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_category_2,BD_native,BD_irrig,BD_nat_rf,BD_irr_rf,per_sand_nat,per_clay_nat,soil_texture_nat,per_sand_irrig,per_clay_irrig,soil_texture_irrig,soil_pH_nat,soil_pH_irrig,total_C_n_native,total_C_n_irr,total_C_nat,total_C_irr,total_C_sd_nat,total_C_sd_irr,total_C_nat_cov,total_C_irr_cov,total_C_nat_sd_calc,total_C_irr_sd_calc,total_C_st_nat,total_C_st_irr,total_C_st_sd_nat,total_C_st_sd_irr,total_C_st_nat_calc,total_C_st_irr_calc,log_total_C_rr,log_total_C_st_calc_rr,total_C_st_nat_cov,total_C_st_irr_cov,total_C_st_sd_nat_calc,total_C_st_sd_nat_calc,organic_C_n_nat,organic_C_n_irr,organic_C_nat,organic_C_irr,log_organic_C_rr,organic_C_sd_nat,organic_C_sd_irr,organic_C_nat_cov,organic_C_irr_cov,organic_C_nat_sd_calc,organic_C_irr_sd_calc,organic_C_st_nat,organic_C_st_irr,organic_C_st_sd_nat,organic_C_st_sd_irr,organic_C_st_nat_calc,organic_C_st_irr_calc,log_organic_C_st_rr,per_OC_st_change,organic_C_st_nat_cov,organic_C_st_irr_cov,organic_C_st_sd_nat_calc,organic_C_st_sd_irr_calc,OC_change_rate,inorganic_C_n_nat,inorganic_C_n_irr,inorganic_C_nat,inorganic_C_irr,log_inorganic_C_rr,inorganic_C_sd_nat,inorganic_C_sd_irr,inorganic_C_nat_cov,inorganic_C_irr_cov,inorganic_C_nat_sd_calc,inorganic_C_irr_sd_calc,inorganic_C_st_nat,inorganic_C_st_irr,inorganic_C_st_sd_nat,inorganic_C_st_sd_irr,inorganic_C_st_nat_calc,inorganic_C_st_irr_calc,log_inorganic_C_st_nat_calc_rr,inorganic_C_st_nat_cov,inorganic_st_C_irr_cov,inorganic_C_st_nat_sd_calc,inorganic_C_st_nat_sd_calc,total_N_n_nat,total_N_n_irr,total_N_nat,total_N_irr,log_total_N_rr,total_N_sd_nat,total_N_sd_irr,total_N_nat_cov,total_N_irr_cov,total_N_nat_sd_calc,total_N_irr_sd_calc,total_N_st_nat,total_N_st_irr,log_total_N_st_rr,total_N_st_sd_nat,total_N_st_sd_irr,total_N_st_nat_calc,total_N_st_irr_calc,log_total_N_st_rr_calc,total_N_nat_st_cov,total_N_irr_st_cov,total_N_nat_st_sd_calc,total_N_irr_st_sd_calc
8,de Assis et al.,2010,Brazil,Chapada do Apodi,5° 09' S,38° 00' W,100-130,138,772,826,28.5,26.6,semiarid,0.4481,Semi-Arid,2.2361,"woody, thorny and deciduous","mixed, then banana",woody crops,no,0,never,NT,,,no,yes,yes,yes,no,12,microsprinler,sprinkler,,,,,,,Farm,0,5,5,0-10cm,0-10cm,1.28,1.41,1.276974223,1.37333363,51.6,29.2,SCL,49.5,26.1,SCL,6.6,7.5,,,,,,,,,,,,,,,,,,,,,,,4,4,17.26666667,15.26666667,-0.053464282,,,,,3.08441331,2.138048102,,,,,16.24947901,15.94346533,-0.00825672,-1.883221526,,,0.969213229,0.507830322,-0.166666667,,,,,,,,,,,,,,,,,,,,,,,4,4,1.366666667,1.1,-0.094269917,,,,,0.215789474,0.161914894,,,,,,1.297847149,1.169466122,-0.045235902,,,0.08055603,0.032682528
8,de Assis et al.,2010,Brazil,Chapada do Apodi,5° 09' S,38° 00' W,100-130,138,772,826,28.5,26.6,semiarid,0.4481,Semi-Arid,2.2361,"woody, thorny and deciduous","mixed, then banana",woody crops,no,0,never,NT,,,no,yes,yes,yes,no,12,microsprinler,sprinkler,,,,,,,Farm,15,25,10,10-20cm,10-20cm,1.3,1.29,1.288434222,1.318782111,51.6,29.2,SCL,49.5,26.1,SCL,6.6,7.5,,,,,,,,,,,,,,,,,,,,,,,4,4,9.3,7.8,-0.076388346,,,,,1.661295972,1.092365187,,,,,11.98243826,10.28650047,-0.06627755,-14.1535283,,,0.714702156,0.327645009,-0.125,,,,,,,,,,,,,,,,,,,,,,,4,4,0.7,0.7,0,,,,,0.110526316,0.10303675,,,,,,0.901903955,0.923147478,0.010110796,,,0.055980246,0.025798775
8,de Assis et al.,2010,Brazil,Chapada do Apodi,5° 09' S,38° 00' W,100-130,138,772,826,28.5,26.6,semiarid,0.4481,Semi-Arid,2.2361,"woody, thorny and deciduous","mixed, then banana",woody crops,no,0,never,NT,,,no,yes,yes,yes,no,12,microsprinler,sprinkler,,,,,,,Farm,25,40,15,30-40cm,30+cm,1.23,1.26,1.256011333,1.298524222,51.6,29.2,SCL,49.5,26.1,SCL,6.6,7.5,,,,,,,,,,,,,,,,,,,,,,,4,4,7.3,6.4,-0.057142886,,,,,1.304028021,0.896299641,,,,,13.7533241,12.46583253,-0.042686389,-9.361311932,,,0.820328064,0.397060966,-0.075,,,,,,,,,,,,,,,,,,,,,,,4,4,0.6,0.5,-0.079181246,,,,,0.094736842,0.073597679,,,,,,1.1304102,0.973893167,-0.064724749,,,0.070163392,0.027216941
8,de Assis et al.,2010,Brazil,Chapada do Apodi,5° 09' S,38° 00' W,100-130,138,772,826,28.5,26.6,semiarid,0.4481,Semi-Arid,2.2361,"woody, thorny and deciduous","mixed, then maize",cereals,yes,,,,,,no,yes,yes,yes,no,26,pivot sprinkler,sprinkler,,,,,,,Farm,0,5,5,0-10cm,0-10cm,1.293333333,1.396666667,1.266126296,1.389428556,37.2,24.4,L,38.3,37.8,CL,6.5,7.4,,,,,,,,,,,,,,,,,,,,,,,4,4,1.446666667,12.86666667,0.949097575,,,,,0.258423818,1.801935736,,,,,1.337586199,14.63765436,1.039149709,994.3335367,,,0.079781403,0.466237708,0.439230769,,,,,,,,,,,,,,,,,,,,,,,4,4,0.1,0.933333333,0.970036777,,,,,0.015789474,0.137382334,,,,,,0.092832364,1.065405182,1.059815393,,,0.005762009,0.029774385
8,de Assis et al.,2010,Brazil,Chapada do Apodi,5° 09' S,38° 00' W,100-130,138,772,826,28.5,26.6,semiarid,0.4481,Semi-Arid,2.2361,"woody, thorny and deciduous","mixed, then maize",cereals,yes,,,,,,no,yes,yes,yes,no,26,pivot sprinkler,sprinkler,,,,,,,Farm,15,25,10,10-20cm,10-20cm,1.14,1.38,1.186564889,1.373228,37.2,24.4,L,38.3,37.8,CL,6.5,7.4,,,,,,,,,,,,,,,,,,,,,,,4,4,0.76,9.5,1.096910013,,,,,0.135761821,1.330444779,,,,,0.901789316,13.045666,1.16036117,1346.642333,,,0.053787948,0.415529788,0.336153846,,,,,,,,,,,,,,,,,,,,,,,4,4,0.06,0.7,1.06694679,,,,,0.009473684,0.10303675,,,,,,0.071193893,0.9612596,1.130397949,,,0.004418931,0.026863877
8,de Assis et al.,2010,Brazil,Chapada do Apodi,5° 09' S,38° 00' W,100-130,138,772,826,28.5,26.6,semiarid,0.4481,Semi-Arid,2.2361,"woody, thorny and deciduous","mixed, then maize",cereals,yes,,,,,,no,yes,yes,yes,no,26,pivot sprinkler,sprinkler,,,,,,,Farm,25,40,15,30-40cm,30+cm,1.17,1.35,1.188349111,1.364126667,37.2,24.4,L,38.3,37.8,CL,6.5,7.4,,,,,,,,,,,,,,,,,,,,,,,4,4,0.58,6.5,1.049485363,,,,,0.103607706,0.910304323,,,,,1.033863727,13.300235,1.109396016,1186.459197,,,0.061665632,0.423638305,0.227692308,,,,,,,,,,,,,,,,,,,,,,,4,4,0.04,0.6,1.176091259,,,,,0.006315789,0.088317215,,,,,,0.071300947,1.227714,1.23600191,,,0.004425576,0.034310355
9,de Bona et al.,2008,Brazil,Federal University of Rio Grande do Sul,30° 05' S,51° 40' W,40,25,1446,1416,19.5,19.6,subtropical  humid,1.0509,Humid,0.9421,native grassland,maize,cereals,no,0,never,NT,,no,non-legumes,yes,yes,no,,,sprinkler,sprinkler,,,,,,,Plot,0,25,25,10-20cm,10-20cm,1.47,1.63,1.490999333,1.633681333,,,SCL,54.3,18.6,SL,,,1,1,19.3,19.6,,,,,,,,,,,71.94071782,80.05038532,0.006698762,0.04638866,,,6.227063999,5.679241765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,de Bona et al.,2008,Brazil,Federal University of Rio Grande do Sul,30° 05' S,51° 40' W,40,25,1446,1416,19.5,19.6,subtropical  humid,1.0509,Humid,0.9421,native grassland,maize,cereals,no,0,never,NT,,no,non-legumes,yes,yes,no,,,sprinkler,sprinkler,,,,,,,Plot,25,50,25,30-40cm,30+cm,1.692857143,1.635714286,1.637232794,1.628403508,,,SCL,54.3,18.6,SL,,,1,1,8.571428571,8.742857143,,,,,,,,,,,98.86470444,99.18405409,0.008600172,0.001400584,,,8.557557673,7.036695954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10a,Denef et al.,2008,USA,"Imperial, Nebraska",40° 30' N,101° 38' W,1036,1000,570,489,9.7,10,semiarid,0.2977,Semi-Arid,3.3722,native grassland,mixed,cereals,yes,,,MT/NT,yes,,yes-legumes,,,,,40,pivot sprinkler,sprinkler,,,,,,,Farm,0,5,5,0-10cm,0-10cm,,,1.287856889,1.334348,,,,46,22,L,6.5,6.5,1,7,,,,,,,,,14.5,8.95,0.8,0.18,14.5,8.95,,-0.209544967,0.055172414,0.020111732,1.255094899,0.634965261,1,7,,,,,,,,,,14.37,8.86,0.87,0.17,14.37,8.86,-0.210023046,-38.34377175,0.060542797,0.019187359,0.857110194,0.2822082,,1,7,,,,,,,,,,0.13,0.08,0.13,0.06,0.13,0.08,-0.210853365,1,0.75,0.037525773,0.039663551,1,7,,,,,,,,,,1.45,0.85,-0.231949077,0.09,0.02,1.45,0.85,-0.231949077,0.062068966,0.023529412,0.09,0.023754557
10a,Denef et al.,2008,USA,"Imperial, Nebraska",40° 30' N,101° 38' W,1036,1000,570,489,9.7,10,semiarid,0.2977,Semi-Arid,3.3722,native grassland,mixed,cereals,yes,,,MT/NT,yes,,yes-legumes,,,,,40,pivot sprinkler,sprinkler,,,,,,,Farm,5,20,15,10-20cm,10-20cm,,,1.311451333,1.352547778,,,,46,22,L,6.5,6.5,1,7,,,,,,,,,18.95,23.09,0.56,0.56,18.95,23.09,,0.085814719,0.029551451,0.024252923,2.100791855,1.755620276,1,7,,,,,,,,,,23.72,22.91,0.57,0.4,23.72,22.91,-0.015089596,-3.414839798,0.024030354,0.017459625,1.414798455,0.729727975,,1,7,,,,,,,,,,0.51,0.19,0.22,0.11,0.51,0.19,-0.428816575,0.431372549,0.578947368,0.147216495,0.094200935,1,7,,,,,,,,,,2.59,2.3,-0.051571928,0.1,0.04,2.59,2.3,-0.051571928,0.038610039,0.017391304,0.160758621,0.064277035
10a,Denef et al.,2008,USA,"Imperial, Nebraska",40° 30' N,101° 38' W,1036,1000,570,489,9.7,10,semiarid,0.2977,Semi-Arid,3.3722,native grassland,mixed,cereals,yes,,,MT/NT,yes,,yes-legumes,,,,,40,pivot sprinkler,sprinkler,,,,,,,Farm,20,50,30,30-40cm,30+cm,,,1.282674282,1.339322525,,,,46,22,L,6.5,6.5,1,7,,,,,,,,,31.49,31.11,1.85,1.43,70.24,69.48115385,,-0.004717481,0.058748809,0.045965927,8.381896086,8.972155245,1,7,,,,,,,,,,66.37076923,53.57192308,3.338461538,0.855384615,66.37076923,53.57192308,-0.093039615,-19.2838599,0.058748809,0.020361991,3.958737848,1.706369749,,1,7,,,,,,,,,,3.867307692,15.90923077,3.407692308,2.946923077,3.867307692,15.90923077,0.614240455,,0.298474946,,7.887707402,1,7,,,,,,,,,,6.897692308,5.905769231,-0.067427345,0.298846154,0.102692308,6.897692308,5.905769231,-0.067427345,0.080838323,0.02295082,0.428132626,0.165045799
10b,Denef et al.,2008,USA,"Otis, Colorado",40° 9' N,102° 57' W,1320,1317,375,397,10,9.7,semiarid,0.2273,Semi-Arid,4.3854,native grassland,mixed,cereals,yes,0,never,NT,no,,yes-type unknown,,,,,48,pivot sprinkler,sprinkler,,,,,,,Farm,0,5,5,0-10cm,0-10cm,,,1.312731111,1.320516778,77,13,SaL,46,22,L,6.5,6.5,1,3,,,,,,,,,8.84,9.38,0.98,0.32,8.84,9.38,,0.025750573,0.110859729,0.034115139,1.118578545,1.910252809,1,3,,,,,,,,,,8.76,8.98,0.98,0.32,8.76,8.98,0.01077223,2.511415525,0.111872146,0.035634744,0.522497237,0.286030433,,1,3,,,,,,,,,,0.08,0.06,0.02,0.03,0.08,0.06,-0.124938737,0.25,0.5,0.023092784,0.029747664,1,3,,,,,,,,,,0.85,0.92,0.034368902,0.07,0.02,0.85,0.92,0.034368902,0.082352941,0.02173913,0.052758621,0.025710814
10b,Denef et al.,2008,USA,"Otis, Colorado",40° 9' N,102° 57' W,1320,1317,375,397,10,9.7,semiarid,0.2273,Semi-Arid,4.3854,native grassland,mixed,cereals,yes,0,never,NT,no,,yes-type unknown,,,,,48,pivot sprinkler,sprinkler,,,,,,,Farm,5,20,15,10-20cm,10-20cm,,,1.315034222,1.330149222,77,13,SaL,46,22,L,6.5,6.5,1,3,,,,,,,,,12.85,21.72,0.8,0.92,12.85,21.72,,0.227956693,0.062256809,0.042357274,1.63597155,5.419951339,1,3,,,,,,,,,,12.79,19.69,0.8,0.46,12.79,19.69,0.187375172,53.94839719,0.062548866,0.023362113,0.762869824,0.627164724,,1,3,,,,,,,,,,0.06,2.03,0.03,0.83,0.06,2.03,1.529344788,0.5,0.408866995,0.017319588,1.006462617,1,3,,,,,,,,,,1.49,2.22,0.173166706,0.1,0.07,1.49,2.22,0.173166706,0.067114094,0.031531532,0.092482759,0.062041312
10b,Denef et al.,2008,USA,"Otis, Colorado",40° 9' N,102° 57' W,1320,1317,375,397,10,9.7,semiarid,0.2273,Semi-Arid,4.3854,native grassland,mixed,cereals,yes,0,never,NT,no,,yes-type unknown,,,,,48,pivot sprinkler,sprinkler,,,,,,,Farm,20,50,30,30-40cm,30+cm,,,1.308371697,1.329880364,77,13,SaL,46,22,L,6.5,6.5,1,3,,,,,,,,,21.06,44.98,1.394545455,3.247272727,17.74636364,45.51636364,,0.409058182,0.042260209,0.076033793,2.29882125,13.68332845,1,3,,,,,,,,,,16.84636364,19.93181818,1.385454545,1.251818182,16.84636364,19.93181818,0.073040746,18.31525552,0.036797613,0.044306418,1.004814892,0.634867102,,1,3,,,,,,,,,,0.905454545,25.58454545,0.365454545,3.882727273,0.905454545,25.58454545,1.451111052,0.28125,0.192510802,0.261368322,12.68467417,1,3,,,,,,,,,,2.281818182,2.572727273,0.052112714,0.155454545,0.157272727,2.281818182,2.572727273,0.052112714,0.024,0.064285714,0.141630094,0.071898818
11,Eshel et al.,2007,USA,"Bakersfield, CA",35° 3' N,119° 02' W,123,129,165.1,206,18.4,17.8,temperate,0.1,Arid,10.2816,native grassland,"hay,cotton",cereals,yes,,,CT,,,,,,,,100,furrow irrigation,floodfurr,fresh,,,,,,Farm,0,200,200,90-100cm,30+cm,,1.7,1.460285667,1.410951612,,,SL,,,SL,,,2,6,,,,,,,,,445,89,57,59,352.5,50.5,,-0.843867743,0.128089888,0.662921348,47.13219043,17.41178511,2,6,,,,,,,,,,129,49,,,129,49,-0.42039363,-62.01550388,,,7.694308627,1.560745124,,2,6,,,,,,,,,,42.5,6.65,,,42.5,6.65,-0.805567285,,,12.26804124,3.29703271,,,,,,,,,,,,,,,,,,,,,,,
12,Fallahzade et al.,2012,Iran,Abarkooh Plain,31° 18' N,53° 17' E,1500,1501,60,131,20,16.7,arid,0.0546,Arid,18.1603,native desert shrub,wheat,cereals,no,,,CT,,,non-legumes,yes,,,,30,flood irrigation,floodfurr,fresh,,,,,,Plot,0,10,10,0-10cm,0-10cm,,,1.391659889,1.333449778,31,35,CL,28,37,CL,7.9,7.75,,,,,,,,,,,,,,,,,,,,,,,9,9,0.56,3.34,0.77555844,,,,,0.100035026,0.467756375,,,,,0.779329538,4.455184852,0.757144591,471.6689327,,,0.046483737,0.141906286,0.092666667,,,,,,,,,,,,,,,,,,,,,,,9,9,0.07,0.24,0.535113202,,,,,0.011052632,0.035326886,,,,,,0.097416192,0.32021872,0.516815568,,,0.006046522,0.008949004
12,Fallahzade et al.,2012,Iran,Abarkooh Plain,31° 18' N,53° 17' E,1500,1501,60,131,20,16.7,arid,0.0546,Arid,18.1603,native desert shrub,wheat,cereals,no,,,CT,,,non-legumes,yes,,,,30,flood irrigation,floodfurr,fresh,,,,,,Plot,10,20,10,10-20cm,10-20cm,,,1.390182334,1.315579334,29,37,CL,27,38.5,CL,8.1,7.75,,,,,,,,,,,,,,,,,,,,,,,18,18,0.72,2.74,0.580418066,,,,,0.128616462,0.383728284,,,,,1.00093128,3.601739285,0.556108011,259.8388178,,,0.059701351,0.114722389,0.067333333,,,,,,,,,,,,,,,,,,,,,,,18,18,0.08,0.215,0.429348473,,,,,0.012631579,0.031647002,,,,,,0.111214587,0.282560012,0.404948949,,,0.006902974,0.007896574
12,Fallahzade et al.,2012,Iran,Abarkooh Plain,31° 18' N,53° 17' E,1500,1501,60,131,20,16.7,arid,0.0546,Arid,18.1603,native desert shrub,wheat,cereals,no,,,CT,,,non-legumes,yes,,,,30,flood irrigation,floodfurr,fresh,,,,,,Plot,20,30,10,20-30cm,20-30cm,,,1.396653334,1.342463278,28,38,CL,29,38,CL,8,7.8,,,,,,,,,,,,,,,,,,,,,,,9,9,0.26,2.385,0.962515035,,,,,0.046444834,0.334011663,,,,,0.363129867,3.203830995,0.945607628,782.2824245,,,0.021659173,0.102048237,0.070833333,,,,,,,,,,,,,,,,,,,,,,,9,9,0.05,0.18,0.556302501,,,,,0.007894737,0.026495165,,,,,,0.069832667,0.241774979,0.539352726,,,0.004334442,0.006756774
13,Gillabel et al.,2007,USA,"Imperial, Nebraska",40° 31' N,101° 38' W,1029,999,570,489,11,9.9,semiarid,0.3007,Semi-Arid,3.3436,native grassland,"corn, then mixed",cereals,yes,,,CT,,no,"yes, legumes",,yes,,,47,pivot sprinkler,sprinkler,,,,,,,Farm,0,5,5,0-10cm,0-10cm,1.1,1.21,1.203252,1.284521556,46,16,L,46,20,L,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,15,9.4,0.81,0.51,15,9.4,-0.202963405,-37.33333333,0.054,0.054255319,0.89468705,0.299408248,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,1.42,0.98,-0.161062269,0.1,0.05,1.42,0.98,-0.161062269,0.070422535,0.051020408,0.088137931,0.027387606
13,Gillabel et al.,2007,USA,"Imperial, Nebraska",40° 31' N,101° 38' W,1029,999,570,489,11,9.9,semiarid,0.3007,Semi-Arid,3.3436,native grassland,"corn, then mixed",cereals,yes,,,CT,,no,"yes, legumes",,yes,,,47,pivot sprinkler,sprinkler,,,,,,,Farm,5,20,15,10-20cm,10-20cm,1.41,1.44,1.343964889,1.387126889,51,17,L,44,22,L,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,24.74,23.48,1.14,0.5,24.74,23.48,-0.022701603,-5.092966855,0.046079224,0.021294719,1.475637174,0.747883582,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,2.83,2.62,-0.033485144,0.13,0.05,2.83,2.62,-0.033485144,0.045936396,0.019083969,0.175655172,0.073219927
14,Huang et al.,2015,China,Cele Oasis,36° 57' N,80° 42' E,1340,1405,35.1,37,11.9,13,arid,0.0226,Hyper Arid,44.1622,native desert shrub,"wheat, maize, cotton",cereals,yes,,,CT,,,continuous cover,yes,,yes,no,100,flood,floodfurr,fresh,,,,,,Farm,0,20,20,0-10cm,0-10cm,1.42,1.21,1.408347333,1.261274111,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,12,12,1.23,4.7,0.582192746,,,,,0.21971979,0.658220049,,,,,3.464534439,11.85597664,0.534292452,242.2098077,,,0.20664494,0.377635872,0.0347,,,,,,,,,,,,,,,,,,,,,,,12,12,0.17,0.45,0.422763592,,,,,0.026842105,0.066237911,,,,,,0.478838093,1.1351467,0.374863298,,,0.029720985,0.031723419
14,Huang et al.,2015,China,Cele Oasis,36° 57' N,80° 42' E,1340,1405,35.1,37,11.9,13,arid,0.0226,Hyper Arid,44.1622,native desert shrub,"wheat, maize, cotton",cereals,yes,,,CT,,,continuous cover,yes,,yes,no,100,flood,floodfurr,fresh,,,,,,Farm,20,40,20,20-30cm,20-30cm,1.4,1.36,1.400628444,1.340485222,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,12,12,1.26,4.23,0.525969822,,,,,0.225078809,0.592398044,,,,,3.529583679,11.34050498,0.506908911,221.2986576,,,0.210524854,0.361217099,0.0297,,,,,,,,,,,,,,,,,,,,,,,12,12,0.18,0.46,0.407485327,,,,,0.028421053,0.067709865,,,,,,0.50422624,1.233246404,0.388424415,,,0.031296801,0.034464966
14,Huang et al.,2015,China,Cele Oasis,36° 57' N,80° 42' E,1340,1405,35.1,37,11.9,13,arid,0.0226,Hyper Arid,44.1622,native desert shrub,"wheat, maize, cotton",cereals,yes,,,CT,,,continuous cover,yes,,yes,no,100,flood,floodfurr,fresh,,,,,,Farm,40,60,20,40-50cm,30+cm,1.38375,1.335,1.383129806,1.336276625,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,12,12,1.3025,2.09875,0.207182977,,,,,0.232670753,0.293923261,,,,,3.599899588,5.599913599,0.191890939,55.55749436,,,0.214718903,0.178368119,0.0079625,,,,,,,,,,,,,,,,,,,,,,,12,12,0.125,0.19,0.181843588,,,,,0.019736842,0.027967118,,,,,,0.345925153,0.50714405,0.166149193,,,0.021471217,0.01417292
15,Kaye et al.,2005,USA,"Fort Collins, CO",40° 6' N,105° 1' W,1556,1515,385,419,8.9,9.7,steppe,0.2417,Semi-Arid,4.1456,native grassland,corn,cereals,no,,,,no,no,continuous cover,yes,,,,67,,,,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.1,1.25,1.170264,1.290207556,39,39,CL,59,23,SCL,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,28.52,16.62,2.87,3.73,28.52,16.62,-0.234518502,-41.72510519,0.100631136,0.2244284,1.701098311,0.529379264,,3,3,,,,,,,,,,0.19,0.77,0.12,0.68,0.19,0.77,0.607737124,0.631578947,0.883116883,0.054845361,0.381761682,3,3,,,,,,,,,,2.82,1.89,-0.173787304,0.28,0.51,2.82,1.89,-0.173787304,0.09929078,0.26984127,0.175034483,0.052818955
15,Kaye et al.,2005,USA,"Fort Collins, CO",40° 6' N,105° 1' W,1556,1515,385,419,8.9,9.7,steppe,0.2417,Semi-Arid,4.1456,native grassland,corn,cereals,no,,,,no,no,continuous cover,yes,,,,67,,,,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.23,1.4,1.256296,1.371357,52,29,SCL,58,25,SCL,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,19.25,18.57,2.03,7.53,19.25,18.57,-0.01561883,-3.532467532,0.105454545,0.40549273,1.148181714,0.59149055,,3,3,,,,,,,,,,12.14,0.71,0.32,0.64,12.14,0.71,-1.232960338,0.026359143,0.901408451,3.504329897,0.352014019,3,3,,,,,,,,,,2.25,2.12,-0.025846657,0.12,0.88,2.25,2.12,-0.025846657,0.053333333,0.41509434,0.139655172,0.059246659
16,Knowles and Singh,2003,Australia,"Moree, NSW",29° 27' S,149° 50' E,212,207,578,593,19,19.3,subtropical humid,0.2852,Semi-Arid,3.5042,remnant sclerophyl brushland,"cotton, cotton, wheat",woody crops,yes,,,CT,,no,continuous cover,,,,,22.5,,,,,,,,,Farm,0,15,15,0-10cm,0-10cm,,1.23,1.356830444,1.376615778,,,,29,52,C,,7.77,3,3,,,,,,,,,30.11,14.24,3.81,2.9,30.11,14.24,,-0.325200766,0.126536035,0.203651685,4.72486788,4.367499766,3,3,,,,,,,,,,24.95,8.89,3.54,2.72,24.95,8.89,-0.448168789,-64.36873747,0.141883768,0.305961755,1.488162793,0.283163758,,3,3,,,,,,,,,,5.26,5.35,0.27,2.63,5.26,5.35,0.007368038,0.051330798,0.491588785,1.518350515,2.6525,,,,,,,,,,,,,,,,,,,,,,,
16,Knowles and Singh,2003,Australia,"Moree, NSW",29° 27' S,149° 50' E,212,207,578,593,19,19.3,subtropical humid,0.2852,Semi-Arid,3.5042,remnant sclerophyl brushland,"cotton, cotton, wheat",woody crops,yes,,,CT,,no,continuous cover,,,,,22.5,,,,,,,,,Farm,15,30,15,20-30cm,20-30cm,,1.61,1.370759556,1.381343444,,,,30,53,C,,7.85,3,3,,,,,,,,,28.49,14.42,6.44,4.26,28.49,14.42,,-0.295727189,0.226044226,0.295423024,5.058149038,4.585413851,3,3,,,,,,,,,,21.41,8.35,6.89,3.72,21.41,8.35,-0.408930192,-60.99953293,0.321812237,0.445508982,1.277016649,0.26596371,,3,3,,,,,,,,,,7.08,6.08,1.72,4.17,7.08,6.08,-0.066129678,0.242937853,0.685855263,2.04371134,3.014429907,,,,,,,,,,,,,,,,,,,,,,,
16,Knowles and Singh,2003,Australia,"Moree, NSW",29° 27' S,149° 50' E,212,207,578,593,19,19.3,subtropical humid,0.2852,Semi-Arid,3.5042,remnant sclerophyl brushland,"cotton, cotton, wheat",woody crops,yes,,,CT,,no,continuous cover,,,,,22.5,,,,,,,,,Farm,30,60,30,40-50cm,30+cm,,1.62,1.373570556,1.390247223,,,,30,52,C,,7.97,3,3,,,,,,,,,35.29,23.68,4.99,7.305,32.205,21.185,,-0.181894835,0.136299235,0.317989865,5.353857315,7.665068219,3,3,,,,,,,,,,24.36,13.425,4.58,5.17,24.36,13.425,-0.25876299,-44.88916256,0.170741483,0.335659456,1.452971769,0.427612312,,3,3,,,,,,,,,,7.845,7.755,0.765,5.9,7.845,7.755,-0.005011146,0.061895551,0.777301927,2.984742268,3.844885514,,,,,,,,,,,,,,,,,,,,,,,
